date,sé são paulo,bom retiro são paulo,consolação são paulo,aclimação são paulo,cambuci são paulo,lapa são paulo,brás são paulo,carandiru são paulo,penha de frança são paulo,santo amaro são paulo,pari são paulo,casa verde são paulo,pinheiros são paulo,itaim bibi são paulo,vila clementino são paulo,ipiranga são paulo,vila maria são paulo,água fria são paulo,vila matilde são paulo,são miguel paulista são paulo,perdizes são paulo,ponte rasa são paulo,parelheiros são paulo,sacomã são paulo,campo belo são paulo,freguesia do ó são paulo,vila diva são paulo,tatuapé são paulo,vila carrão são paulo,itaquera são paulo,pirituba são paulo,vila sonia são paulo,jabaquara são paulo,vila mariana são paulo,campo limpo são paulo,vila gustavo são paulo,vila santa maria são paulo,vila rica são paulo,parque são lucas são paulo,cidade ademar são paulo,guaianazes são paulo,vila brasilândia são paulo,perus são paulo,capão redondo são paulo,cidade dutra são paulo,são mateus são paulo,itaim paulista são paulo,butantã são paulo,parque são jorge são paulo,parque do carmo são paulo,vila alpina são paulo,vila formosa são paulo,ermelino matarazzo são paulo,vila jacuí são paulo,artur alvim são paulo,teotônio vilela são paulo,vila ema são paulo,jaçanã são paulo,santa cecília são paulo,jardins são paulo,belém são paulo,portal do morumbi são paulo,parque novo mundo são paulo,ceagesp são paulo,parque santo antônio são paulo,monções são paulo,americanópolis são paulo,campo grande são paulo,socorro são paulo
2022-09-18,15,69,41,55,77,86,77,0,0,93,58,60,88,37,17,46,46,0,48,65,57,45,44,26,63,79,0,52,8,75,45,14,59,48,94,0,0,0,100,0,69,0,26,52,48,75,56,55,31,24,23,44,0,0,58,33,39,39,41,62,62,59,26,69,82,30,55,55,68
2022-09-25,21,77,50,49,48,90,82,29,73,68,92,80,74,55,15,37,59,21,40,83,84,51,38,44,88,36,0,72,35,67,54,14,61,72,63,57,22,59,39,100,52,36,58,51,66,83,59,69,88,0,43,69,73,0,53,22,83,49,88,70,66,38,43,37,30,22,18,61,85
2022-10-02,17,25,69,41,48,63,58,69,19,69,29,38,64,22,66,41,65,0,30,61,51,53,33,11,51,38,0,48,19,55,53,18,52,51,63,0,0,0,37,19,43,29,31,38,67,53,44,60,63,23,42,23,37,0,47,0,21,54,84,44,73,0,47,69,47,0,0,62,74
2022-10-09,28,73,41,54,63,74,68,0,100,69,40,20,81,100,31,59,53,0,32,100,62,56,26,46,69,56,36,74,10,72,63,36,67,73,100,26,0,53,35,38,71,0,38,60,74,68,61,59,0,21,38,60,29,0,72,0,28,32,73,96,90,0,40,68,0,68,100,52,67
2022-10-16,32,63,56,15,42,88,58,0,0,69,34,70,68,66,36,42,67,0,31,99,74,29,40,67,59,35,79,59,36,73,63,58,53,71,61,0,37,0,31,70,38,0,53,94,52,68,37,57,0,0,15,30,0,0,27,0,43,37,72,61,63,0,51,67,20,0,0,48,76
2022-10-23,25,81,86,26,25,86,68,28,45,76,29,44,86,56,59,37,61,0,0,54,71,0,39,47,84,41,0,69,16,54,62,0,60,63,77,29,0,61,72,62,49,0,34,29,56,81,36,60,0,21,24,58,26,0,42,31,16,38,35,64,79,0,0,52,0,37,0,55,62
2022-10-30,19,59,53,33,43,66,63,25,25,60,39,69,90,31,54,39,58,0,46,87,55,0,32,52,83,69,0,59,30,60,44,20,50,61,55,25,46,60,0,0,54,0,52,82,60,58,77,48,85,0,36,64,25,27,26,0,22,21,82,80,47,0,55,65,43,36,23,54,57
2022-11-06,24,86,65,10,26,73,65,40,25,69,0,56,71,53,65,41,53,31,54,61,71,41,16,0,44,53,96,54,22,53,48,25,37,35,53,30,0,35,27,51,0,44,40,32,18,52,70,82,86,49,34,40,26,0,0,0,0,30,29,68,58,0,0,33,0,0,0,49,72
2022-11-13,32,90,56,55,29,67,62,76,72,62,39,67,99,47,36,37,53,0,16,55,62,0,80,28,72,60,53,60,40,75,71,16,49,26,68,49,0,0,33,0,35,0,24,52,82,43,40,43,0,0,24,43,25,0,51,0,0,26,72,60,73,34,45,72,0,38,0,48,45
2022-11-20,100,50,51,54,45,63,63,39,57,40,19,0,53,51,24,40,42,40,0,47,77,61,12,35,66,41,0,48,0,68,55,0,51,45,57,29,0,27,26,56,27,44,0,25,27,40,38,50,0,17,0,59,38,0,0,24,30,17,61,52,47,0,23,22,18,95,41,46,51
2022-11-27,20,46,59,13,21,64,64,22,47,53,29,42,62,35,39,27,68,0,12,32,55,41,23,42,44,42,0,76,0,49,52,19,47,44,63,0,0,39,0,34,40,0,45,38,0,64,52,14,0,20,0,52,40,0,18,0,0,0,26,51,41,0,0,42,43,0,0,40,54
2022-12-04,18,95,52,41,23,76,70,0,96,63,30,39,72,45,68,38,46,61,52,77,29,0,17,33,44,32,61,63,0,61,70,61,40,60,45,0,0,49,0,30,24,100,20,33,48,56,33,45,28,25,81,17,13,0,56,0,62,86,74,58,46,30,63,0,0,75,21,35,34
2022-12-11,22,54,71,53,73,85,71,0,24,61,16,57,77,46,0,44,57,0,23,51,59,100,27,77,86,36,48,52,0,48,54,14,60,58,57,32,0,0,0,0,59,0,34,77,58,72,27,38,25,25,0,49,16,0,100,0,0,75,36,40,53,0,26,37,0,26,25,31,56
2022-12-18,16,62,37,22,60,75,54,31,26,54,44,75,66,45,37,40,55,100,30,77,15,62,16,58,60,24,100,77,17,55,34,32,60,63,62,0,0,0,0,78,36,40,40,26,55,67,51,63,0,0,42,53,38,0,0,23,45,46,51,46,50,0,62,56,0,96,0,47,64
2022-12-25,22,69,54,39,44,53,46,26,0,69,28,50,81,35,0,45,41,0,19,90,68,39,30,64,33,12,0,58,19,80,53,0,69,41,69,42,0,0,56,0,52,0,35,61,0,72,37,38,32,0,38,40,47,0,68,34,0,19,54,43,55,0,22,49,0,0,0,55,71
2023-01-01,18,55,54,49,44,86,58,0,36,79,40,18,69,9,61,49,60,43,39,67,40,26,41,25,60,63,42,64,0,67,69,21,89,56,74,0,23,34,27,44,54,36,57,77,100,51,55,50,0,39,0,30,19,0,40,41,0,40,33,53,63,53,35,53,37,0,0,47,84
2023-01-08,41,63,96,24,79,81,64,0,93,64,46,58,74,53,38,49,53,40,20,91,47,49,32,29,90,35,0,84,15,70,78,27,100,59,93,0,23,24,22,0,35,0,43,56,0,58,51,64,0,0,47,57,0,30,0,100,33,15,13,70,68,0,61,54,0,25,0,43,69
2023-01-15,26,72,90,50,47,79,60,69,67,77,19,45,91,89,51,46,36,79,40,65,55,32,51,69,71,100,0,71,20,90,93,0,75,72,67,0,0,0,21,0,13,0,71,50,55,66,100,70,50,21,51,95,31,38,37,0,26,0,70,69,86,0,0,52,32,0,0,50,75
2023-01-22,30,49,59,58,36,64,57,0,16,83,38,36,95,53,61,56,63,31,28,66,75,0,39,31,73,29,68,75,19,90,74,44,57,60,84,0,0,70,45,43,27,0,42,70,34,89,51,58,87,31,42,77,20,0,40,50,0,18,62,61,44,25,72,48,29,0,0,45,85
2023-01-29,31,71,50,45,48,75,58,45,38,84,53,44,96,70,32,43,68,22,31,52,74,61,42,30,53,42,0,61,28,95,90,39,65,63,62,0,0,64,47,31,71,51,100,86,92,69,38,70,27,86,34,46,58,0,72,52,0,0,98,65,65,42,0,63,50,0,0,45,62
2023-02-05,14,65,44,39,34,86,52,38,57,62,37,41,77,47,0,45,51,0,100,60,84,0,28,50,88,27,0,71,31,85,48,24,69,41,75,0,0,0,0,0,19,0,47,93,87,77,46,59,0,0,56,65,37,0,53,23,73,0,76,61,48,0,24,34,0,32,31,38,59
2023-02-12,23,53,70,25,41,67,50,88,27,91,20,42,68,67,57,44,70,0,69,73,55,41,26,25,64,56,0,79,21,91,31,25,57,52,76,0,36,21,32,0,43,0,53,59,42,67,54,53,33,22,24,100,39,0,70,0,68,50,14,71,64,22,55,62,0,41,0,46,75
2023-02-19,26,60,54,56,59,62,46,35,71,80,24,57,99,38,40,39,100,0,98,69,31,0,16,35,56,66,0,90,13,86,64,24,59,67,59,100,0,38,30,42,100,0,40,58,59,55,77,65,0,78,0,52,0,0,48,34,50,0,0,66,50,0,20,29,0,0,0,52,78
2023-02-26,30,69,74,36,73,55,36,41,73,79,18,33,87,62,98,47,79,32,29,53,85,0,12,55,92,75,76,80,30,75,59,25,62,73,73,0,0,70,0,34,42,0,65,60,32,51,13,48,0,0,0,50,23,31,17,0,39,26,43,81,47,78,29,75,60,24,0,41,57
2023-03-05,14,73,64,27,67,85,55,58,73,85,69,45,90,61,69,47,71,0,64,58,100,58,22,20,64,55,0,83,35,73,100,14,87,71,88,0,0,43,36,54,46,0,89,73,95,73,56,80,0,42,18,55,32,0,80,0,80,43,39,91,46,36,15,54,20,0,0,30,59
2023-03-12,30,89,90,51,35,65,49,81,51,76,0,100,95,36,63,47,48,0,44,79,82,0,19,36,59,46,0,73,16,86,92,0,62,70,49,24,0,29,0,63,45,0,61,18,77,72,27,78,0,52,79,70,58,92,0,29,26,100,52,82,27,0,26,68,29,0,38,43,78
2023-03-19,25,79,96,29,64,48,53,0,42,75,88,39,68,50,42,31,49,47,42,68,50,55,26,31,31,30,0,74,29,74,54,16,70,78,64,40,0,59,0,23,12,64,66,39,52,60,58,54,27,20,15,25,29,0,55,21,93,16,30,86,32,0,37,55,0,100,0,44,72
2023-03-26,27,56,44,64,80,67,51,100,74,74,33,41,71,62,87,42,81,64,32,67,58,37,36,0,75,39,40,80,17,64,65,100,61,40,63,0,61,32,57,25,48,0,45,44,75,56,31,61,100,17,40,77,0,0,57,52,19,25,44,77,43,32,41,55,0,96,0,38,71
2023-04-02,31,82,82,75,42,81,57,31,74,73,100,50,92,63,50,38,80,0,0,87,53,58,37,48,99,28,0,83,42,71,61,23,51,56,59,44,100,0,49,60,0,27,23,81,55,56,65,57,36,19,22,40,27,0,55,75,40,37,41,94,40,30,13,77,0,31,47,33,71
2023-04-09,25,81,41,51,75,62,46,22,24,59,15,35,66,61,100,36,58,0,15,77,49,38,42,34,53,0,42,66,21,69,66,38,80,47,63,0,0,45,97,40,51,95,64,58,92,64,65,52,54,0,60,21,100,0,76,0,23,0,51,67,44,0,40,36,0,55,47,49,51
2023-04-16,34,100,50,100,87,69,57,26,54,66,75,51,87,45,0,34,63,22,49,62,45,41,41,23,51,49,45,75,29,92,63,14,78,70,58,25,44,48,0,0,49,0,74,46,37,80,67,100,0,0,0,66,36,0,77,0,0,19,37,75,45,27,0,46,0,0,0,49,60
2023-04-23,26,80,46,48,93,63,64,50,0,68,53,73,85,67,58,48,59,0,0,69,90,0,16,51,79,17,0,57,19,58,56,0,61,40,84,0,0,0,27,29,34,0,68,52,66,71,37,65,0,40,25,62,62,33,0,0,40,27,45,78,37,0,34,31,0,0,28,38,67
2023-04-30,21,70,64,43,12,74,60,0,44,68,32,38,100,66,78,48,47,52,45,66,61,37,28,17,65,49,0,90,10,59,59,20,42,64,57,37,65,0,0,0,33,33,44,56,34,63,68,78,27,42,29,35,20,0,22,51,0,28,52,45,66,0,0,61,28,0,35,34,52
